trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
583,False,"{'a': 0.25, 'e': 0.05380914294022049}",20,0,28.47800025835243,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
584,False,"{'a': 0.25, 'e': 0.05354009722551939}",20,5,24.197281032058367,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
585,False,"{'a': 0.25, 'e': 0.05327239673939179}",25,8,29.12072018065704,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
586,False,"{'a': 0.25, 'e': 0.053006034755694834}",25,12,22.774288011388112,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
587,False,"{'a': 0.25, 'e': 0.052741004581916356}",25,8,27.9681981440984,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
588,False,"{'a': 0.25, 'e': 0.052477299559006776}",25,15,20.849033421856,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
589,False,"{'a': 0.25, 'e': 0.052214913061211746}",25,9,23.606675263541742,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
590,False,"{'a': 0.25, 'e': 0.05195383849590569}",35,15,12.341911707015637,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
591,False,"{'a': 0.25, 'e': 0.05169406930342616}",20,11,17.53406203007124,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
592,False,"{'a': 0.25, 'e': 0.05143559895690903}",25,17,18.532779714998494,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
593,False,"{'a': 0.25, 'e': 0.051178420962124486}",25,16,17.303360976199887,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
594,False,"{'a': 0.25, 'e': 0.05092252885731386}",30,24,11.681897260617907,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
595,False,"{'a': 0.25, 'e': 0.05066791621302729}",20,9,16.661989485444725,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
596,False,"{'a': 0.25, 'e': 0.05041457663196215}",20,12,8.535686280642839,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
597,False,"{'a': 0.25, 'e': 0.050162503748802344}",20,0,27.507871408350496,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
598,False,"{'a': 0.25, 'e': 0.049911691230058335}",20,7,21.078291306856407,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
599,False,"{'a': 0.25, 'e': 0.04966213277390804}",20,8,24.77741192895627,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
600,False,"{'a': 0.25, 'e': 0.0494138221100385}",30,17,-14.47275333015818,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
601,False,"{'a': 0.25, 'e': 0.04916675299948831}",20,11,13.924924934592436,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
602,False,"{'a': 0.25, 'e': 0.04892091923449087}",25,0,43.764008340349,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
603,False,"{'a': 0.25, 'e': 0.04867631463831842}",25,17,14.227842359663843,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
604,False,"{'a': 0.25, 'e': 0.048432933065126825}",25,12,21.164830755674412,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
605,False,"{'a': 0.25, 'e': 0.048190768399801194}",30,10,20.053045995189233,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
606,False,"{'a': 0.25, 'e': 0.04794981455780219}",25,0,23.756243204715705,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
607,False,"{'a': 0.25, 'e': 0.04771006548501318}",20,6,27.940291602908566,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
608,False,"{'a': 0.25, 'e': 0.047471515157588115}",30,17,21.76002904515525,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
609,False,"{'a': 0.25, 'e': 0.047234157581800176}",25,13,19.23466005972426,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
610,False,"{'a': 0.25, 'e': 0.046997986793891174}",25,17,16.874409688410392,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
611,False,"{'a': 0.25, 'e': 0.04676299685992172}",20,8,17.164723195777572,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
612,False,"{'a': 0.25, 'e': 0.04652918187562211}",30,21,12.513401561554392,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
613,False,"{'a': 0.25, 'e': 0.046296535966244}",30,14,31.084487269991097,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
614,False,"{'a': 0.25, 'e': 0.046065053286412784}",20,0,5.927024785014755,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
615,False,"{'a': 0.25, 'e': 0.04583472801998072}",20,0,28.42398265823114,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
616,False,"{'a': 0.25, 'e': 0.045605554379880814}",25,11,-6.396293757319043,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
